,artist,album,track_name,track_id,key,danceability,energy,instrumentalness,loudness,valence,speechiness
17,Marshmello,Be Kind (with Halsey),Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,4,0.63,0.633,0,-7.088,0.452,0.0457
18,Justin Bieber,Intentions,Intentions,364dI1bYnvamSnBJ8JcNzN,9,0.811,0.553,0,-6.644,0.86,0.0552
19,Kygo,Lose Somebody,Lose Somebody,7xbWAw3LMgRMn4omR5yVn3,1,0.58,0.586,0,-6.883,0.507,0.0357
20,Ava Max,Kings & Queens,Kings & Queens,76nqCfJOcFFWBJN32PAksn,1,0.638,0.688,0,-4.056,0.434,0.0407
21,Black Eyed Peas,MAMACITA,MAMACITA,14wf185UxfNbSy8dwt4r4q,2,0.894,0.635,0.00105,-6.929,0.428,0.0473
22,Chris Brown,Slime & B,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,0,0.755,0.578,0,-8.932,0.581,0.145
23,Juice WRLD,Life's A Mess (feat. Halsey),Life's A Mess (feat. Halsey),1yHdZ9S6rBlNPH3LDNMy2P,1,0.636,0.448,0,-8.969,0.186,0.0359
24,Powfu,death bed (coffee for your head) (feat. beabadoobee),death bed (coffee for your head) (feat. beabadoobee),7eJMfftS33KTjuF7lTsMCx,8,0.726,0.431,0,-8.765,0.348,0.135
25,Surfaces,Where the Light Is,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,5,0.878,0.525,0,-6.832,0.694,0.0578
26,Trevor Daniel,Past Life (with Selena Gomez),Past Life (with Selena Gomez),4P6IttK2PRBjyr3fm0pP7t,3,0.612,0.539,0,-5.071,0.294,0.0488
27,Melanie Martinez,Cry Baby (Deluxe Edition),Play Date,4DpNNXFMMxQEKl7r0ykkWA,5,0.68,0.729,0,-5.077,0.446,0.0475
28,The Weeknd,After Hours,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,7,0.667,0.719,8.1e-05,-5.371,0.717,0.0346
29,S1mba,Rover (feat. DTG),Rover (feat. DTG),4slSrbTK1sNK4I1mDYEthf,11,0.613,0.624,0,-6.66,0.804,0.206
30,Regard,Secrets,Secrets,66W1rVTnEv86dIkFhoiElg,6,0.848,0.768,0.000785,-5.386,0.777,0.0373
31,Doja Cat,Hot Pink,Say So,3Dv1eDb0MEgF93GpLXlucZ,11,0.787,0.673,3.57e-06,-4.577,0.786,0.158
32,Curtis Waters,Stunnin',Stunnin',2LUdpPCiiza6UQugipjMeS,11,0.906,0.604,0,-8.332,0.899,0.0746
33,Lil Mosey,Blueberry Faygo,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,0,0.774,0.554,0,-7.909,0.349,0.0383
34,Lil Baby,My Turn (Deluxe),We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,1,0.926,0.542,0,-5.064,0.564,0.293
35,Beyoncé,BLACK PARADE,BLACK PARADE,2qzUpSVI4NnPyWxbXwumTj,1,0.824,0.555,6.42e-06,-5.817,0.0611,0.05
36,Nea,Some Say (Felix Jaehn Remix),Some Say - Felix Jaehn Remix,7C1trmcQQ5n5RNy4l6ziCv,6,0.682,0.7,0,-5.591,0.637,0.0397
37,Conkarah,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,0dZpw3h6KZhcHec61qwevZ,8,0.824,0.854,4.95e-05,-5.312,0.896,0.177
38,Dua Lipa,Don't Start Now,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,11,0.794,0.793,0,-4.521,0.677,0.0842
39,The Kid LAROI,GO (feat. Juice WRLD),GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,6,0.544,0.744,0,-5.007,0.572,0.0889
40,Wallows,Nothing Happens,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,8,0.682,0.683,2.32e-05,-6.444,0.64,0.0287
41,Zoe Wees,Control,Control,50Td3qilgs8BLtv8mHyT1t,4,0.599,0.465,1.57e-06,-4.95,0.0678,0.0314
42,Sleepy Hallow,Deep End Freestyle,Deep End Freestyle,4zTPYAf5scZdp0LnwPPeWK,4,0.876,0.479,0,-6.687,0.776,0.44
43,Don Toliver,Heaven Or Hell,After Party,527k23H0A4Q0UJN3vGs0Da,5,0.629,0.692,0.331,-8.045,0.453,0.0376
44,ROSALÍA,TKN (feat. Travis Scott),TKN (feat. Travis Scott),4w47S36wQGBhGg073q3nt7,0,0.776,0.509,1.49e-06,-6.266,0.485,0.467
45,Lewis Capaldi,Before You Go,Before You Go,7ce20yLkzuXXLUhzIDoZih,3,0.459,0.575,0,-4.858,0.183,0.0573
46,Alexander 23,IDK You Yet,IDK You Yet,47EWMOElkkbMp5m9SBkx7d,1,0.629,0.306,0.0776,-11.735,0.191,0.0424
47,Sam Fischer,This City,This City,3H3r2nKWa3Yk5gt8xgmsEt,11,0.602,0.377,0,-6.213,0.518,0.0446
48,Roddy Ricch,Please Excuse Me For Being Antisocial,The Box,0nbXyq5TXYPCO7pr3N8S4I,10,0.896,0.586,0,-6.687,0.642,0.0559
49,THE SCOTTS,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,0,0.716,0.537,0,-7.648,0.28,0.0514
