,artist,album,track_name,track_id,key,danceability,energy,instrumentalness,loudness,valence,speechiness
29,Nio Garcia,La Jeepeta (Remix),La Jeepeta - Remix,1mohfLaTJtB2RplHLQVM70,4,0.815,0.715,4.83e-06,-4.65,0.786,0.207
30,Pop Smoke,Shoot For The Stars Aim For The Moon,Make It Rain (feat. Rowdy Rebel),71d7LaAgPcNcUopu3OzmP7,1,0.5,0.767,9.79e-05,-4.105,0.58,0.403
31,Michele Morrone,Dark Room,Watch Me Burn,3hiXR95RrJCaYqykCQmYLH,2,0.505,0.604,3.5e-05,-7.896,0.504,0.412
32,Boomdabash,Karaoke,Karaoke,0D4GpOPInKiPxEfQMchu4p,1,0.929,0.625,1.2e-06,-5.728,0.578,0.14
33,瑛人,香水,香水,6y7FocfzyzkGLSHQdJVHhq,3,0.856,0.352,0,-6.9,0.751,0.0408
34,DaBaby,BLAME IT ON BABY,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,11,0.746,0.69,0,-7.956,0.497,0.164
35,Aya Nakamura,Djadja (feat. Maluma) [Remix],Djadja (feat. Maluma) - Remix,6AzKhCHOms83jvNVLsz0Bt,5,0.791,0.682,0,-7.328,0.672,0.158
36,BAEKHYUN,Delight - The 2nd Mini Album,Candy,6kKC35sKUh2FUx4M0qAL44,11,0.649,0.767,0,-3.838,0.608,0.0455
37,Lil Baby,The Bigger Picture,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,1,0.59,0.618,0,-5.756,0.153,0.334
38,Niack,Na Raba Toma Tapão,Na Raba Toma Tapão,0AGS6ZRgzobrazmCi6pYMe,3,0.962,0.787,5.74e-05,1.509,0.968,0.0554
39,yama,春を告げる,春を告げる,2Gmyw5Vg2X5YW2lM3OC7nD,11,0.548,0.871,0,-5.377,0.487,0.123
40,Music Hero,KLWKN,KLWKN,1pi3VCMlGVaXvrjlVOkBPN,2,0.493,0.394,0,-6.997,0.375,0.0366
41,LA Vision,Hollywood,Hollywood,1XdMp6v9Q3N80WnKSbGfl4,7,0.744,0.793,0.000231,-6.02,0.325,0.0291
42,Oğuzhan Koç,Kendime Sardım,Kendime Sardım,42HO3JtyoWWPC7mgReWRL8,7,0.835,0.432,2.33e-06,-7.892,0.883,0.114
43,Tyla Yaweh,Tommy Lee (feat. Post Malone),Tommy Lee (feat. Post Malone),5QZKcQDp0tCcvMdyqEciBV,10,0.457,0.621,0,-5.923,0.634,0.138
44,StaySolidRocky,Party Girl,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,6,0.728,0.431,0,-9.966,0.629,0.0622
45,Bosh,Synkinisi,Djomb - Bien ou quoi,0KBwGCY9RYD9t2zjeW4h48,1,0.945,0.676,0.00036,-6.6,0.631,0.207
46,Carin Leon,Encerrados Pero Enfiestados (Live Vol. 1),Tú,1nLs8r6K4YN0avBwUmmTnr,9,0.669,0.476,9.85e-06,-6.635,0.905,0.0395
47,Ozuna,Caramelo,Caramelo,3gD4J3RUHy4OUuZ3qAiaiG,6,0.728,0.806,0.000301,-3.766,0.698,0.0623
48,MC Marks,Deus é por nós,Deus é por nós,6jcGoHrqfRW6fI2I6xtwBQ,8,0.782,0.475,0,-9.535,0.441,0.132
49,Monte Booker,Soulection White Label - Monte Booker,Kolors,4IOYk6epkzXT38U4ShauZ6,2,0.718,0.403,1.56e-06,-11.064,0.636,0.205
