,artist,album,track_name,track_id,key,danceability,energy,instrumentalness,loudness,valence,speechiness
26,Kanye West,Wash Us In The Blood,Wash Us In The Blood,7mEUjhl6aTztdHCrxoTgBG,10,0.67,0.847,0,-4.85,0.381,0.409
27,The Kid LAROI,GO (feat. Juice WRLD),GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,6,0.544,0.744,0,-5.007,0.572,0.0889
28,Pop Smoke,Shoot For The Stars Aim For The Moon,Make It Rain (feat. Rowdy Rebel),71d7LaAgPcNcUopu3OzmP7,1,0.5,0.767,9.79e-05,-4.105,0.58,0.403
29,Drake,Dark Lane Demo Tapes,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,10,0.735,0.449,0,-7.507,0.0397,0.347
30,Post Malone,Hollywood's Bleeding,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,2,0.755,0.522,0,-4.368,0.925,0.0575
31,Pop Smoke,Shoot For The Stars Aim For The Moon,Gangstas,1hg3RlqFZXJb5YgRoK9qmF,4,0.548,0.506,0.0001,-7.434,0.557,0.102
32,Polo G,THE GOAT,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,10,0.752,0.673,0,-5.792,0.35,0.153
33,Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,6,0.511,0.566,0,-7.23,0.218,0.2
34,Future,High Off Life,Life Is Good (feat. Drake),1K5KBOgreBi5fkEHvg5ap3,2,0.795,0.574,0,-6.903,0.537,0.487
35,Pop Smoke,Shoot For The Stars Aim For The Moon,Something Special,5kkaSMcf4BFlhRRICCKZb6,7,0.739,0.616,1.93e-06,-6.963,0.654,0.0338
36,Pop Smoke,Shoot For The Stars Aim For The Moon,Aim For The Moon (feat. Quavo),6O7fPYTsb2mY0PiFt2ymDB,11,0.713,0.605,3.46e-06,-7.487,0.432,0.107
37,Gunna,WUNNA,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,0,0.825,0.458,0,-7.47,0.161,0.0577
38,Pop Smoke,Shoot For The Stars Aim For The Moon,44 BullDog,7sjFIZ1g5QLJLGja3k592K,8,0.8,0.564,1.65e-06,-5.817,0.318,0.4
39,Juice WRLD,Righteous,Righteous,0OyQns5ayNK2OVaES0Vb8t,0,0.707,0.622,0,-6.951,0.223,0.031
40,Pop Smoke,Shoot For The Stars Aim For The Moon,Creature (feat. Swae Lee),3eV2WT9YhfzkxbufnBF8wK,7,0.794,0.717,0,-5.73,0.372,0.251
41,Tyla Yaweh,Tommy Lee (feat. Post Malone),Tommy Lee (feat. Post Malone),5QZKcQDp0tCcvMdyqEciBV,10,0.457,0.621,0,-5.923,0.634,0.138
42,Chris Brown,Slime & B,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,0,0.755,0.578,0,-8.932,0.581,0.145
43,Dua Lipa,Future Nostalgia,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,11,0.793,0.793,0,-4.521,0.679,0.083
44,Pop Smoke,Shoot For The Stars Aim For The Moon,Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,10,0.48,0.602,0,-6.335,0.269,0.368
45,Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,8,0.676,0.771,7e-06,-3.675,0.569,0.0483
46,Dua Lipa,Future Nostalgia,Break My Heart,017PF4Q3l4DBUiWoXk4OWT,4,0.73,0.729,1.39e-06,-3.434,0.467,0.0883
47,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),Before You Go,2gMXnyrvIjhVBUZwvLZDMP,3,0.459,0.575,0,-4.858,0.183,0.0573
48,iann dior,I'm Gone,Prospect (ft. Lil Baby),4iHSE5R1U8jf84tRn52xRt,1,0.816,0.579,0,-6.097,0.43,0.0867
49,Ariana Grande,Stuck with U,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,8,0.597,0.45,0,-6.658,0.537,0.0418
